Sample Num,X,SIN(PI*X),2 multiples of SIN [ SIN(PI*X)+SIN(2*PI*X) ],3 multiples of SIN [ SIN(PI*X)+SIN(2*PI*X)+SIN(3*PI*X) ],16 multiples of SIN [ SIN(PI*X)+SIN(2*PI*X)+SIN(3*PI*X)+...+SIN(16*PI*X) ],Chirp [ SIN(8*PI*X) / (8*PI*X) ],Parabola [ 2*(X^2) - 1 ],3rd Power [ 2*(X^3) - 1 ],Accelerating SIN [ SIN(4*PI/X) ],Slowing Square
0,-1,-1.22515E-16,6.92174E-17,-9.80119E-17,-2.14383E-16,0.030315227,1,-1,4.90059E-16,-1
1,-0.999511719,-0.00153398,0.000866653,-0.00122718,0.001022542,0.030326103,0.998047352,-0.998535871,-0.006138882,1
2,-0.999023438,-0.003067957,0.001733293,-0.002454331,0.002044409,0.030329118,0.996095657,-0.997073173,-0.012283533,-1
3,-0.998535156,-0.004601926,0.002599903,-0.003681424,0.00306493,0.030324264,0.994144917,-0.995611903,-0.018433729,1
4,-0.998046875,-0.006135885,0.003466471,-0.004908431,0.004083432,0.030311534,0.992195129,-0.994152062,-0.024589245,-1
5,-0.997558594,-0.007669829,0.004332982,-0.006135322,0.005099243,0.030290925,0.990246296,-0.992693648,-0.030749852,1
6,-0.997070313,-0.009203755,0.005199421,-0.007362068,0.006111694,0.030262433,0.988298416,-0.991236662,-0.036915324,-1
7,-0.996582031,-0.010737659,0.006065775,-0.008588642,0.007120119,0.030226059,0.98635149,-0.989781101,-0.043085431,1
8,-0.99609375,-0.012271538,0.006932028,-0.009815013,0.008123851,0.030181804,0.984405518,-0.988326967,-0.049259941,-1
9,-0.995605469,-0.013805389,0.007798168,-0.011041153,0.00912223,0.030129672,0.982460499,-0.986874257,-0.055438623,1
10,-0.995117188,-0.015339206,0.008664179,-0.012267034,0.010114597,0.030069669,0.980516434,-0.985422972,-0.061621243,-1
11,-0.994628906,-0.016872988,0.009530047,-0.013492626,0.011100297,0.030001802,0.978573322,-0.98397311,-0.067807566,1
12,-0.994140625,-0.01840673,0.010395759,-0.014717901,0.012078681,0.029926081,0.976631165,-0.982524671,-0.073997356,-1
13,-0.993652344,-0.019940429,0.011261299,-0.015942829,0.013049103,0.029842519,0.97468996,-0.981077654,-0.080190375,1
14,-0.993164063,-0.02147408,0.012126653,-0.017167382,0.014010922,0.029751129,0.97274971,-0.979632058,-0.086386386,-1
15,-0.992675781,-0.023007681,0.012991808,-0.018391531,0.014963504,0.029651927,0.970810413,-0.978187883,-0.092585147,1
16,-0.9921875,-0.024541229,0.013856749,-0.019615247,0.015906219,0.029544931,0.96887207,-0.976745129,-0.098786418,-1
17,-0.991699219,-0.026074718,0.014721461,-0.020838502,0.016838444,0.029430162,0.966934681,-0.975303793,-0.104989956,-1
18,-0.991210938,-0.027608146,0.015585931,-0.022061266,0.017759563,0.02930764,0.964998245,-0.973863876,-0.111195517,1
19,-0.990722656,-0.029141509,0.016450144,-0.023283512,0.018668967,0.029177392,0.963062763,-0.972425378,-0.117402855,1
20,-0.990234375,-0.030674803,0.017314087,-0.024505209,0.019566054,0.029039441,0.961128235,-0.970988296,-0.123611725,-1
21,-0.989746094,-0.032208025,0.018177743,-0.02572633,0.02045023,0.028893817,0.95919466,-0.969552631,-0.129821878,-1
22,-0.989257813,-0.033741172,0.0190411,-0.026946846,0.021320911,0.028740551,0.957262039,-0.968118382,-0.136033066,1
23,-0.988769531,-0.035274239,0.019904144,-0.028166728,0.022177518,0.028579673,0.955330372,-0.966685548,-0.142245037,1
24,-0.98828125,-0.036807223,0.020766859,-0.029385947,0.023019484,0.028411218,0.953399658,-0.965254128,-0.148457542,-1
25,-0.987792969,-0.03834012,0.021629232,-0.030604474,0.02384625,0.028235222,0.951469898,-0.963824122,-0.154670325,-1
26,-0.987304688,-0.039872928,0.022491249,-0.031822282,0.024657267,0.028051724,0.949541092,-0.962395529,-0.160883135,1
27,-0.986816406,-0.041405641,0.023352895,-0.033039341,0.025451995,0.027860764,0.947613239,-0.960968349,-0.167095715,1
28,-0.986328125,-0.042938257,0.024214156,-0.034255622,0.026229907,0.027662383,0.94568634,-0.95954258,-0.173307808,-1
29,-0.985839844,-0.044470772,0.025075017,-0.035471098,0.026990484,0.027456626,0.943760395,-0.958118222,-0.179519157,-1
30,-0.985351563,-0.046003182,0.025935466,-0.036685739,0.027733219,0.027243538,0.941835403,-0.956695274,-0.185729503,1
31,-0.984863281,-0.047535484,0.026795487,-0.037899517,0.028457617,0.027023168,0.939911366,-0.955273736,-0.191938586,1
32,-0.984375,-0.049067674,0.027655066,-0.039112403,0.029163194,0.026795566,0.937988281,-0.953853607,-0.198146143,-1
33,-0.983886719,-0.050599749,0.028514189,-0.04032437,0.029849478,0.026560782,0.936066151,-0.952434886,-0.204351913,-1
34,-0.983398438,-0.052131705,0.029372841,-0.041535387,0.030516009,0.026318872,0.934144974,-0.951017573,-0.210555631,1
35,-0.982910156,-0.053663538,0.03023101,-0.042745428,0.03116234,0.02606989,0.932224751,-0.949601666,-0.216757031,1
36,-0.982421875,-0.055195244,0.03108868,-0.043954463,0.031788037,0.025813894,0.930305481,-0.948187165,-0.222955849,-1
37,-0.981933594,-0.056726821,0.031945837,-0.045162464,0.032392679,0.025550944,0.928387165,-0.94677407,-0.229151815,-1
38,-0.981445313,-0.058258265,0.032802467,-0.046369403,0.032975858,0.0252811,0.926469803,-0.945362379,-0.235344662,1
39,-0.980957031,-0.059789571,0.033658556,-0.047575251,0.033537181,0.025004426,0.924553394,-0.943952092,-0.24153412,1
40,-0.98046875,-0.061320736,0.03451409,-0.04877998,0.034076267,0.024720986,0.922637939,-0.942543209,-0.247719916,-1
41,-0.979980469,-0.062851758,0.035369054,-0.049983561,0.03459275,0.024430847,0.920723438,-0.941135728,-0.25390178,-1
42,-0.979492188,-0.064382631,0.036223435,-0.051185967,0.035086279,0.024134078,0.918809891,-0.939729649,-0.260079436,1
43,-0.979003906,-0.065913353,0.037077218,-0.052387169,0.035556517,0.023830749,0.916897297,-0.938324971,-0.266252612,1
44,-0.978515625,-0.06744392,0.037930389,-0.053587138,0.036003142,0.023520932,0.914985657,-0.936921693,-0.272421031,-1
45,-0.978027344,-0.068974328,0.038782934,-0.054785848,0.036425847,0.0232047,0.91307497,-0.935519816,-0.278584416,-1
46,-0.977539063,-0.070504573,0.03963484,-0.055983268,0.03682434,0.02288213,0.911165237,-0.934119337,-0.284742489,1
47,-0.977050781,-0.072034653,0.04048609,-0.057179372,0.037198345,0.022553298,0.909256458,-0.932720257,-0.290894971,1
48,-0.9765625,-0.073564564,0.041336673,-0.058374132,0.037547601,0.022218284,0.907348633,-0.931322575,-0.297041582,-1
49,-0.976074219,-0.075094301,0.042186573,-0.059567518,0.037871863,0.021877167,0.905441761,-0.929926289,-0.303182039,-1
